"Administrative Unit Number","School Number","Institution Name","Address","Address Line 2 ","City","State","Zip Code","Zip Code Extension","Latitude","Longitude","WebAddress","Grades","Georeferenced Latitude & Longitude"
"300233760","0","Little Friends","9107 W Chester Pk",,"Upper Darby","PA","19082",,"39.96829","-75.291341","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.291341 39.96829)"
"125239652","8504","Penn Wood 9th Grade Academy","600 Cypress St",,"Yeadon","PA","19050","3391","39.937891","-75.250461","http://www.wpsd.k12.pa.us","9","POINT (-75.250461 39.937891)"
"908070305","0","Claysburg Area Public Library Inc","957 Bedford St","P O Box 189","Claysburg","PA","16625","189","40.2994882","-78.4490173","http://www.claysburglibrary.org",,"POINT (-78.4490173 40.2994882)"
"910140033","915","Centre Hall Area Branch Library","109 W Beryl St",,"Centre Hall","PA","16828",,"40.844495","-77.6875447","http://www.centrecountylibrary.org/centre-hall",,"POINT (-77.6875447 40.844495)"
"218404284","0","Wilkes Barre Mennonite School","221 Blackman Street",,"Wilkes-Barre","PA","18702",,"41.229469","-75.898609","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.898609 41.229469)"
"913380543","0","Palmyra Public Library","50 Landings Dr, Ste B, Annville PA 17003","P O Box 114","Palmyra","PA","17078","114","40.2873766","-76.5662389","https://palmyra.lclibs.org/",,"POINT (-76.5662389 40.2873766)"
"103026852","265","Franklin El Sch","2401 Rochester Rd",,"Sewickley","PA","15143","8606","40.58695666","-80.09670041","http://www.northallegheny.org","K5H,1-5","POINT (-80.09670041 40.58695666)"
"126513450","7666","Franklin Towne CHS","5301 Tacony St Building 108","Box 310","Philadelphia","PA","19137","2308","40.008595","-75.068825","http://www.franklintowne.org","12-Sep","POINT (-75.068825 40.008595)"
"205201044","0","Bethesda Ch Hm Luth S S","15487 State Highway 86",,"Meadville","PA","16335","5316","41.68292","-80.127967","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-80.127967 41.68292)"
"126515001","3650","Nebinger George W Sch","601 Carpenter St",,"Philadelphia","PA","19147","2907","39.93671083","-75.15392177","http://www.philasd.org","PreKF,K5F-6,7-8","POINT (-75.15392177 39.93671083)"
"110141003","0","Bald Eagle Area SD","751 S Eagle Valley Rd",,"Wingate","PA","16823","4740","40.950174","-77.783995","http://www.beasd.org",,"POINT (-77.783995 40.950174)"
"123466403","3342","Rupert El Sch","1230 South St",,"Pottstown","PA","19464","5868","40.241628","-75.623125","http://www.pottstownschools.com","PreKF,K5F-4","POINT (-75.623125 40.241628)"
"213361052","0","Chestnut Hill School","747 Chestnut Hill Rd",,"Denver","PA","17517",,"39.886423","-76.007576","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-76.007576 39.886423)"
"112673500","0","Lincoln CS","559 W King St.",,"York","PA","17401","3706","39.956648","-76.741516","http://www.lincolncharterschoolpa.com",,"POINT (-76.741516 39.956648)"
"102027451","7502","Pittsburgh Woolslair K-5","501 40th St",,"Pittsburgh","PA","15224","1458","40.463251","-79.957335","http://www.pps.k12.pa.us/woolslair/site/default.asp","K5F-5","POINT (-79.957335 40.463251)"
"902022524","910","Lincoln Park Satellite Library","7300 Ridgeview Ave",,"Pittsburgh","PA","15235",,"40.467641","-79.8857699","https://pennhillslibrary.org/about-us/about-phl/",,"POINT (-79.8857699 40.467641)"
"300027200","0","Pace School","2432 Greensburg Pike",,"Pittsburgh","PA","15221",,"40.4382","-79.856491","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-79.856491 40.4382)"
"120452003","6935","East Stroudsburg SHS South","279 N Courtland St",,"East Stroudsburg","PA","18301","2122","41.006329","-75.184302","http://www.esasd.net/ehs","12-Sep","POINT (-75.184302 41.006329)"
"107657103","7111","Trafford El Sch","100 E Brinton Ave",,"Trafford","PA","15085","1034","40.376816","-79.761972","http://www.penntrafford.org","K5H,1-5","POINT (-79.761972 40.376816)"
"106612203","4667","Central El Sch","1276 Otter St",,"Franklin","PA","16323","1351","41.399809","-79.829442","http://www.fasd.k12.pa.us","K5F-6","POINT (-79.829442 41.399809)"
